experiment,dataset,aggregator,pooling,cache_mode,hop,n_runs_found,ap_mean,ap_std,mean_epoch_time_s,mean_total_time_s,mean_epochs_to_converge
TGN_SEAL-Dept1,dept1,last,mean,nocache,2hop,2,0.940400625753462,0.0013305505285582386,171.98681555011055,5675.564913153648,33.0
TGN_SEAL-Dept1,dept1,last,target,nocache,2hop,2,0.9420849197283747,0.002990879224265053,169.2454910820281,5670.958210229874,33.5
TGN_SEAL-Dept1,dept1,attn,mean,nocache,2hop,2,0.9436072963506235,0.0017889302217753422,189.35113985152805,7004.456190466881,37.0
TGN_SEAL-Dept1,dept1,attn,target,nocache,2hop,2,0.9475716379920307,0.0006375717205276965,192.78675423189998,5783.589485406876,30.0
TGN_SEAL-Dept2,dept2,last,mean,nocache,2hop,2,0.929872823927326,0.00044831938083433887,99.45529813539414,1442.2967237234116,14.5
TGN_SEAL-Dept2,dept2,last,target,nocache,2hop,2,0.9309416306101759,0.0009395814282275317,103.63884654877678,2113.2606937885284,20.5
TGN_SEAL-Dept2,dept2,attn,mean,nocache,2hop,2,0.93237387030419,0.0012353341099572979,107.28835150990551,2306.796242713928,21.5
TGN_SEAL-Dept2,dept2,attn,target,nocache,2hop,2,0.936155283563663,0.0015235232328704162,106.57708062996035,3355.664908051491,31.5
TGN_SEAL-Dept3,dept3,last,mean,nocache,2hop,2,0.8021374331807832,0.002615727076198504,32.54444165999845,715.6560201644897,22.0
TGN_SEAL-Dept3,dept3,last,target,nocache,2hop,2,0.8045592443177094,0.0019322942106326235,32.38001327593248,874.1088354587555,27.0
TGN_SEAL-Dept3,dept3,attn,mean,nocache,2hop,2,0.8022505756621799,0.001405257079715616,33.96876388277326,609.5858809947968,18.0
TGN_SEAL-Dept3,dept3,attn,target,nocache,2hop,2,0.8088085113434108,0.0008254228934297947,33.607704476277405,1108.6249834299088,33.0
TGN_SEAL-Dept4,dept4,last,mean,nocache,2hop,2,0.9044810164583066,0.0005722699460958824,105.19164833454155,1894.0966254472733,18.0
TGN_SEAL-Dept4,dept4,last,target,nocache,2hop,2,0.9079426893698551,4.068763818165788e-05,108.21980367352566,1517.5401723384857,14.0
TGN_SEAL-Dept4,dept4,attn,mean,nocache,2hop,2,0.9092839859220729,0.000889691734133724,112.46445620466363,2586.60720038414,23.0
TGN_SEAL-Dept4,dept4,attn,target,nocache,2hop,2,0.915142477720011,0.002976245176787351,113.65096895133749,2894.4849672317505,25.5
