experiment,dataset,hop,cache_mode,n_runs_found,ap_mean,ap_std,mean_epoch_time_s,mean_total_time_s,cache_hit_rate
DyRep-Dept2,dept2,2hop,nocache,10,0.8613021407748354,0.016364182464218235,141.53835002876764,2375.38508579731,
DyRep-Dept2,dept2,2hop,cache,2,0.8320445907428669,0.01827712664785569,138.5988122675154,1939.0786290168762,0.6969897174104815
DyRep-Dept2,dept2,2hop,layered-cache,2,0.7946826036184231,0.0018919155805623977,132.44521687759294,1656.4222322702408,0.6970107844390312
DyRep-Dept2,dept2,3hop,nocache,3,0.8763067609614174,0.01131344816074496,319.5004622763656,5539.89955218633,
TGN_Time-Dept4,dept4,2hop,nocache,2,0.8706250544970304,0.006642739933471142,151.2890991392808,1891.0763190984726,
TGN_Time-Dept4,dept4,2hop,cache,2,0.7898695665298745,0.011879927303429405,147.0330171228751,2270.632311940193,0.7319976456788493
TGN_Time-Dept4,dept4,2hop,layered-cache,2,0.7887927333637877,0.027876666032153774,138.62352454458545,1524.8486820459366,0.731907814799345
TGN_Id-Dept4,dept4,2hop,nocache,10,0.90647534071329,0.0030206394596724415,116.4881506916012,3169.990692925453,
TGN_Id-Dept4,dept4,2hop,cache,2,0.899605238425363,2.3756000282926237e-05,123.66022744132025,2156.5264098644257,0.7319182254827908
TGN_Id-Dept4,dept4,2hop,layered-cache,2,0.8964918448050037,0.000837439175167598,97.57823124235752,1707.8606933355331,0.7319182254827908
TGN_Id-Dept4,dept4,3hop,nocache,3,0.9071379496507178,0.000911345521504126,330.81321364892364,6613.029374917348,
TGN_SEAL-Dept1,dept1,2hop,nocache,2,0.9402632128564168,0.00021820646431724988,166.96782322724658,4589.225642085075,
TGN_SEAL-Dept1,dept1,2hop,cache,2,0.9416678212848572,0.001133792153304447,164.63516597270964,6182.067116856575,0.7143381768645702
TGN_SEAL-Dept1,dept1,2hop,layered-cache,2,0.9380169779149277,0.0003731237105711327,155.67302118722722,3734.5171657800674,0.7143739139744647
TGN_SEAL-Dept2,dept2,2hop,nocache,2,0.9316618399321525,0.00015422520002283946,100.91241969839558,2018.5412102937698,
TGN_SEAL-Dept2,dept2,2hop,cache,2,0.9256929677977261,7.604439948033503e-05,97.46183442414463,1952.9810168743134,0.6969937175554506
TGN_SEAL-Dept2,dept2,2hop,layered-cache,2,0.9247509269171551,0.0010487971632202608,92.28692565077827,1338.7041450738907,0.6970343889089379
TGN_SEAL-Dept3,dept3,2hop,nocache,2,0.7956047751865996,0.0005179256973976698,31.85501102038792,413.81176364421844,
TGN_SEAL-Dept3,dept3,2hop,cache,2,0.7941730094868682,0.0013210387645605226,31.124160559688296,529.4641004800797,0.5659466554316828
TGN_SEAL-Dept3,dept3,2hop,layered-cache,2,0.7706633326946983,0.003314904237191496,30.490048745099237,518.330828666687,0.5659907565567062
TGN_SEAL-Dept4,dept4,2hop,nocache,2,0.9054228009837468,0.001513368629225631,110.24698005384869,2365.7083765268326,
TGN_SEAL-Dept4,dept4,2hop,cache,2,0.899605238425363,2.3756000282926237e-05,140.88986062652924,2484.2491493225098,0.7319182254827908
TGN_SEAL-Dept4,dept4,2hop,layered-cache,2,0.8964918448050037,0.000837439175167598,94.98768270522162,1662.467368364334,0.7319182254827908
