node src,node dst,timestamp,duration
82,8158,1074478845,91
82,8158,1074479129,376
100,5103,1080035732,30
100,5103,1080036212,31
100,70,1080040650,30
100,70,1080040676,4
100,5103,1080040789,30
100,5103,1080040861,2
100,9037,1080048321,42
9037,100,1080116472,98
100,9037,1080122360,45
100,9037,1080122863,330
9037,100,1080124554,52
100,9037,1080126297,37
100,5055,1080132546,14
100,9037,1080140889,74
100,9037,1080225683,151
100,9037,1080225969,33
100,9037,1080226495,26
100,3552,1080230156,41
100,3552,1080230230,38
100,3552,1080230738,117
100,9037,1080230881,40
100,9037,1080231371,31
3265,30,1089484907,233
30,3286,1089488321,8
30,107,1089574622,75
30,3265,1089575238,1
30,3269,1089579201,279
30,3271,1089615317,23
3271,30,1089615369,13
3271,30,1089619742,53
3271,30,1089621286,25
30,3271,1089622177,11
30,3271,1089622225,11
30,3271,1089622271,26
30,3271,1089622555,12
30,3271,1089622597,33
30,3271,1089622670,10
902,8,1090257008,696
11,1263,1090258642,29
1263,11,1090259022,310
11,1263,1090259723,247
1263,11,1090260415,55
11,1231,1090272676,23
11,283,1090275840,65
3269,30,1090275999,643
8,107,1090279534,2
294,8,1090284090,558
9,1049,1090297625,35
9,1049,1090297701,28
30,283,1090305013,23
3271,30,1090317560,31
3271,30,1090317710,34
3271,30,1090317940,61
30,283,1090318550,102
30,3271,1090318684,184
11,1263,1090328768,220
11,1263,1090336664,490
1263,11,1090337222,61
980,8,1090337385,1329
11,201,1090341905,23
11,1263,1090348260,66
11,1263,1090349368,128
11,1263,1090349854,65
8,107,1090353253,92
8,914,1090353383,27
3250,30,1090353413,44
3250,30,1090354249,132
11,1263,1090354333,70
3250,30,1090354694,44
3250,30,1090354835,66
3250,30,1090355191,111
3250,30,1090355690,101
8,216,1090356465,44
3250,30,1090358741,540
8,955,1090359158,32
8,956,1090359215,8
3250,30,1090359694,87
914,8,1090363367,160
216,8,1090365904,26
909,8,1090368168,30
216,8,1090369503,6
9,1056,1090384988,38
11,1263,1090402584,233
11,1263,1090404616,312
11,1263,1090408399,439
11,142,1090409660,24
1038,9,1090411298,35
11,1263,1090411561,311
