,u,i,ts,label,idx
0,1,2,1082040961.0,1,1
1,3,4,1082155839.0,1,2
2,5,2,1082414391.0,1,3
3,6,7,1082439619.0,1,4
4,8,7,1082439756.0,1,5
5,9,10,1082440403.0,1,6
6,9,11,1082440453.0,1,7
7,12,13,1082441188.0,1,8
8,9,14,1082441754.0,1,9
9,9,15,1082441824.0,1,10
10,9,16,1082441895.0,1,11
11,9,17,1082442153.0,1,12
12,9,14,1082442328.0,1,13
13,9,18,1082442560.0,1,14
14,19,18,1082443023.0,1,15
15,20,21,1082444944.0,1,16
16,19,22,1082450074.0,1,17
17,8,23,1082450243.0,1,18
18,9,24,1082450645.0,1,19
19,9,22,1082450656.0,1,20
20,25,21,1082467089.0,1,21
21,26,7,1082481125.0,1,22
22,27,28,1082490240.0,1,23
23,29,25,1082504083.0,1,24
24,30,31,1082517506.0,1,25
25,30,31,1082517511.0,1,26
26,30,31,1082517513.0,1,27
27,30,31,1082517516.0,1,28
28,32,33,1082518023.0,1,29
29,34,35,1082525530.0,1,30
30,34,33,1082525718.0,1,31
31,36,37,1082530949.0,1,32
32,38,39,1082538849.0,1,33
33,36,40,1082539557.0,1,34
34,41,15,1082540305.0,1,35
35,41,11,1082540354.0,1,36
36,41,14,1082540462.0,1,37
37,41,13,1082540496.0,1,38
38,41,39,1082541442.0,1,39
39,41,42,1082574211.0,1,40
40,41,43,1082576344.0,1,41
41,9,40,1082583700.0,1,42
42,44,45,1082585468.0,1,43
43,46,22,1082587705.0,1,44
44,44,46,1082588222.0,1,45
45,47,46,1082588508.0,1,46
46,48,46,1082589483.0,1,47
47,9,49,1082596555.0,1,48
48,36,50,1082597715.0,1,49
49,44,51,1082597751.0,1,50
50,32,52,1082598056.0,1,51
51,36,32,1082598122.0,1,52
52,53,54,1082598395.0,1,53
53,36,55,1082598545.0,1,54
54,56,57,1082598548.0,1,55
55,36,32,1082598685.0,1,56
56,36,58,1082598765.0,1,57
57,44,59,1082598920.0,1,58
58,51,58,1082598934.0,1,59
59,44,14,1082599072.0,1,60
60,36,56,1082599376.0,1,61
61,36,60,1082599717.0,1,62
62,56,61,1082600068.0,1,63
63,62,50,1082600409.0,1,64
64,36,60,1082600787.0,1,65
65,32,59,1082601455.0,1,66
66,36,60,1082601872.0,1,67
67,36,50,1082601913.0,1,68
68,41,63,1082602619.0,1,69
69,41,64,1082602668.0,1,70
70,41,65,1082602682.0,1,71
71,41,56,1082602700.0,1,72
72,41,61,1082602761.0,1,73
73,41,43,1082602778.0,1,74
74,41,52,1082602807.0,1,75
75,41,58,1082602838.0,1,76
76,41,59,1082603068.0,1,77
77,9,64,1082603124.0,1,78
78,9,58,1082603179.0,1,79
79,12,66,1082603219.0,1,80
80,32,58,1082603266.0,1,81
81,12,66,1082603268.0,1,82
82,67,32,1082603514.0,1,83
83,41,32,1082603571.0,1,84
84,67,32,1082603649.0,1,85
85,32,68,1082603681.0,1,86
86,68,56,1082603850.0,1,87
87,67,32,1082603868.0,1,88
88,67,32,1082603999.0,1,89
89,68,61,1082604018.0,1,90
90,67,32,1082604079.0,1,91
91,67,8,1082604696.0,1,92
92,69,67,1082605390.0,1,93
93,70,51,1082607167.0,1,94
94,44,50,1082607289.0,1,95
95,67,32,1082608354.0,1,96
96,71,58,1082608405.0,1,97
97,71,72,1082608481.0,1,98
98,51,58,1082608509.0,1,99
99,72,71,1082609249.0,1,100
100,73,74,1082609649.0,1,101
101,74,73,1082609719.0,1,102
102,73,74,1082609913.0,1,103
103,74,73,1082609972.0,1,104
104,34,58,1082610114.0,1,105
105,44,75,1082610117.0,1,106
106,44,75,1082610241.0,1,107
107,9,58,1082610294.0,1,108
108,73,74,1082610332.0,1,109
109,9,76,1082610339.0,1,110
110,32,77,1082611326.0,1,111
111,41,76,1082612106.0,1,112
112,41,78,1082612122.0,1,113
113,79,48,1082612494.0,1,114
114,79,63,1082612535.0,1,115
115,41,80,1082612618.0,1,116
116,79,58,1082612664.0,1,117
117,41,81,1082612672.0,1,118
118,79,70,1082612947.0,1,119
119,19,82,1082613371.0,1,120
120,19,72,1082613444.0,1,121
121,12,32,1082613466.0,1,122
122,19,64,1082613910.0,1,123
123,19,58,1082614030.0,1,124
124,19,58,1082614035.0,1,125
125,19,58,1082614037.0,1,126
126,19,52,1082614388.0,1,127
127,83,59,1082614460.0,1,128
128,51,70,1082614477.0,1,129
129,38,58,1082614831.0,1,130
130,41,58,1082616043.0,1,131
131,63,79,1082616085.0,1,132
132,41,63,1082616093.0,1,133
133,67,59,1082616359.0,1,134
134,41,63,1082616735.0,1,135
135,41,58,1082617102.0,1,136
136,44,84,1082617666.0,1,137
137,19,85,1082618206.0,1,138
138,19,72,1082618294.0,1,139
139,3,84,1082619042.0,1,140
140,19,8,1082619196.0,1,141
141,19,58,1082619271.0,1,142
142,84,86,1082619833.0,1,143
143,83,58,1082620003.0,1,144
144,36,60,1082620032.0,1,145
145,86,48,1082620231.0,1,146
146,87,63,1082620509.0,1,147
147,36,88,1082620689.0,1,148
148,87,8,1082620950.0,1,149
149,36,89,1082621383.0,1,150
150,90,56,1082621402.0,1,151
151,36,90,1082621459.0,1,152
152,36,84,1082621518.0,1,153
153,91,92,1082621575.0,1,154
154,36,93,1082621760.0,1,155
155,91,92,1082621825.0,1,156
156,36,90,1082621841.0,1,157
157,91,92,1082621981.0,1,158
158,36,60,1082622201.0,1,159
159,36,84,1082622692.0,1,160
160,51,58,1082622812.0,1,161
161,94,84,1082622904.0,1,162
162,36,84,1082623270.0,1,163
163,94,84,1082623289.0,1,164
164,94,84,1082623664.0,1,165
165,69,84,1082623764.0,1,166
166,69,95,1082623795.0,1,167
167,87,8,1082624060.0,1,168
168,3,84,1082624449.0,1,169
169,3,84,1082624696.0,1,170
170,48,86,1082625217.0,1,171
171,84,8,1082626287.0,1,172
172,91,81,1082627222.0,1,173
173,96,88,1082627395.0,1,174
174,8,84,1082628373.0,1,175
175,84,8,1082629290.0,1,176
176,91,47,1082629573.0,1,177
177,97,98,1082630222.0,1,178
178,98,97,1082630376.0,1,179
179,97,98,1082630411.0,1,180
180,48,97,1082630520.0,1,181
181,99,8,1082630832.0,1,182
182,99,8,1082630846.0,1,183
183,97,48,1082630976.0,1,184
184,100,101,1082631193.0,1,185
185,102,97,1082631289.0,1,186
186,97,48,1082631600.0,1,187
187,97,102,1082631611.0,1,188
188,101,100,1082631973.0,1,189
189,48,58,1082632034.0,1,190
190,97,48,1082632063.0,1,191
191,103,72,1082635084.0,1,192
192,103,58,1082635445.0,1,193
193,104,59,1082637588.0,1,194
194,104,59,1082637597.0,1,195
195,103,72,1082640108.0,1,196
196,105,56,1082653516.0,1,197
197,106,72,1082653683.0,1,198
198,105,61,1082653966.0,1,199
199,105,8,1082654051.0,1,200
