,u,i,ts,label,idx
0,67,6348,1074478845.0,1,1
1,67,6348,1074479129.0,1,2
2,85,3956,1080035732.0,1,3
3,85,3956,1080036212.0,1,4
4,85,55,1080040650.0,1,5
5,85,55,1080040676.0,1,6
6,85,3956,1080040789.0,1,7
7,85,3956,1080040861.0,1,8
8,85,7115,1080048321.0,1,9
9,7115,85,1080116472.0,1,10
10,85,7115,1080122360.0,1,11
11,85,7115,1080122863.0,1,12
12,7115,85,1080124554.0,1,13
13,85,7115,1080126297.0,1,14
14,85,3911,1080132546.0,1,15
15,85,7115,1080140889.0,1,16
16,85,7115,1080225683.0,1,17
17,85,7115,1080225969.0,1,18
18,85,7115,1080226495.0,1,19
19,85,2816,1080230156.0,1,20
20,85,2816,1080230230.0,1,21
21,85,2816,1080230738.0,1,22
22,85,7115,1080230881.0,1,23
23,85,7115,1080231371.0,1,24
24,2566,23,1089484907.0,1,25
25,23,2582,1089488321.0,1,26
26,23,91,1089574622.0,1,27
27,23,2566,1089575238.0,1,28
28,23,2570,1089579201.0,1,29
29,23,2572,1089615317.0,1,30
30,2572,23,1089615369.0,1,31
31,2572,23,1089619742.0,1,32
32,2572,23,1089621286.0,1,33
33,23,2572,1089622177.0,1,34
34,23,2572,1089622225.0,1,35
35,23,2572,1089622271.0,1,36
36,23,2572,1089622555.0,1,37
37,23,2572,1089622597.0,1,38
38,23,2572,1089622670.0,1,39
39,698,4,1090257008.0,1,40
40,7,1026,1090258642.0,1,41
41,1026,7,1090259022.0,1,42
42,7,1026,1090259723.0,1,43
43,1026,7,1090260415.0,1,44
44,7,995,1090272676.0,1,45
45,7,209,1090275840.0,1,46
46,2570,23,1090275999.0,1,47
47,4,91,1090279534.0,1,48
48,220,4,1090284090.0,1,49
49,5,828,1090297625.0,1,50
50,5,828,1090297701.0,1,51
51,23,209,1090305013.0,1,52
52,2572,23,1090317560.0,1,53
53,2572,23,1090317710.0,1,54
54,2572,23,1090317940.0,1,55
55,23,209,1090318550.0,1,56
56,23,2572,1090318684.0,1,57
57,7,1026,1090328768.0,1,58
58,7,1026,1090336664.0,1,59
59,1026,7,1090337222.0,1,60
60,770,4,1090337385.0,1,61
61,7,137,1090341905.0,1,62
62,7,1026,1090348260.0,1,63
63,7,1026,1090349368.0,1,64
64,7,1026,1090349854.0,1,65
65,4,91,1090353253.0,1,66
66,4,709,1090353383.0,1,67
67,2551,23,1090353413.0,1,68
68,2551,23,1090354249.0,1,69
69,7,1026,1090354333.0,1,70
70,2551,23,1090354694.0,1,71
71,2551,23,1090354835.0,1,72
72,2551,23,1090355191.0,1,73
73,2551,23,1090355690.0,1,74
74,4,151,1090356465.0,1,75
75,2551,23,1090358741.0,1,76
76,4,747,1090359158.0,1,77
77,4,748,1090359215.0,1,78
78,2551,23,1090359694.0,1,79
79,709,4,1090363367.0,1,80
80,151,4,1090365904.0,1,81
81,704,4,1090368168.0,1,82
82,151,4,1090369503.0,1,83
83,5,833,1090384988.0,1,84
84,7,1026,1090402584.0,1,85
85,7,1026,1090404616.0,1,86
86,7,1026,1090408399.0,1,87
87,7,96,1090409660.0,1,88
88,818,5,1090411298.0,1,89
89,7,1026,1090411561.0,1,90
90,7,1026,1090412268.0,1,91
91,23,2572,1090420488.0,1,92
92,7,1026,1090420572.0,1,93
93,23,2566,1090420635.0,1,94
94,23,2561,1090420789.0,1,95
95,23,2561,1090420820.0,1,96
96,23,2572,1090421096.0,1,97
97,2572,23,1090421278.0,1,98
98,2572,23,1090421451.0,1,99
99,2566,23,1090421929.0,1,100
100,23,2566,1090426454.0,1,101
101,23,91,1090426678.0,1,102
102,7,2,1090427674.0,1,103
103,137,7,1090427934.0,1,104
104,137,7,1090428390.0,1,105
105,137,7,1090428586.0,1,106
106,137,7,1090428610.0,1,107
107,87,7315,1090429000.0,1,108
108,7,1026,1090429421.0,1,109
109,1026,7,1090429816.0,1,110
110,2551,23,1090431442.0,1,111
111,87,7834,1090433343.0,1,112
112,87,7287,1090433489.0,1,113
113,7,1026,1090433506.0,1,114
114,7834,87,1090433667.0,1,115
115,7,1026,1090434023.0,1,116
116,87,7832,1090439529.0,1,117
117,23,2572,1090448154.0,1,118
118,23,2572,1090448360.0,1,119
119,23,2572,1090448675.0,1,120
120,2572,23,1090451709.0,1,121
121,2572,23,1090451785.0,1,122
122,23,2566,1090452736.0,1,123
123,2572,23,1090452907.0,1,124
124,23,2566,1090453114.0,1,125
125,2,394,1090460222.0,1,126
126,318,23,1090460925.0,1,127
127,5,828,1090469470.0,1,128
128,87,7315,1090485589.0,1,129
129,1026,7,1090492342.0,1,130
130,87,7315,1090492634.0,1,131
131,1026,7,1090494226.0,1,132
132,87,91,1090495994.0,1,133
133,87,91,1090496285.0,1,134
134,87,91,1090496335.0,1,135
135,7,1026,1090496737.0,1,136
136,1026,7,1090501219.0,1,137
137,1026,7,1090502710.0,1,138
138,1026,7,1090504878.0,1,139
139,2,91,1090508008.0,1,140
140,7,1026,1090508783.0,1,141
141,1026,7,1090509360.0,1,142
142,1026,7,1090516896.0,1,143
143,2,332,1090519980.0,1,144
144,2,336,1090520066.0,1,145
145,2,91,1090520114.0,1,146
146,87,7815,1090521067.0,1,147
147,1026,7,1090521571.0,1,148
148,7,1026,1090522467.0,1,149
149,7,2,1090522769.0,1,150
150,2,7,1090524683.0,1,151
151,2,46,1090524802.0,1,152
152,2,367,1090525321.0,1,153
153,1026,7,1090525549.0,1,154
154,2,367,1090529115.0,1,155
155,87,91,1090531934.0,1,156
156,23,91,1090535943.0,1,157
157,23,2572,1090536000.0,1,158
158,87,7815,1090539811.0,1,159
159,7,1026,1090575160.0,1,160
160,1026,7,1090585105.0,1,161
161,23,91,1090586913.0,1,162
162,87,91,1090587326.0,1,163
163,7,1026,1090587838.0,1,164
164,87,7817,1090587862.0,1,165
165,87,7315,1090588309.0,1,166
166,87,91,1090590182.0,1,167
167,87,7858,1090590319.0,1,168
168,1026,7,1090590813.0,1,169
169,7,1026,1090591779.0,1,170
170,1026,7,1090593891.0,1,171
171,2,91,1090594740.0,1,172
