,u,i,ts,label,idx
0,59,70,0.0,1,1831
1,59,89,88.0,1,1832
2,100,36,378.0,1,39315
3,100,123,378.0,1,39306
4,100,21,378.0,1,39312
5,100,137,378.0,1,39309
6,100,13,378.0,1,39313
7,100,129,378.0,1,39314
8,100,26,378.0,1,39303
9,100,92,378.0,1,39302
10,100,93,378.0,1,39305
11,100,32,378.0,1,39304
12,100,121,378.0,1,39301
13,100,107,378.0,1,39300
14,100,117,378.0,1,39308
15,100,3,378.0,1,39307
16,100,139,378.0,1,39299
17,100,23,378.0,1,39310
18,100,114,378.0,1,39311
19,118,63,638.0,1,6667
20,52,70,2636.0,1,1833
21,127,63,3050.0,1,6669
22,127,10,3050.0,1,6668
23,89,70,3970.0,1,1834
24,70,52,4012.0,1,1835
25,25,59,4233.0,1,1836
26,76,101,5085.0,1,4
27,76,81,5085.0,1,1
28,76,110,5085.0,1,3
29,76,15,5085.0,1,2
30,69,27,5151.0,1,6670
31,41,87,5218.0,1,22411
32,10,119,5380.0,1,6671
33,36,121,6561.0,1,39316
34,36,32,6561.0,1,39317
35,89,70,6593.0,1,1837
36,132,108,6754.0,1,22412
37,89,59,6825.0,1,1838
38,100,23,7910.0,1,39319
39,100,129,7910.0,1,39320
40,100,32,7910.0,1,39318
41,10,119,8260.0,1,6672
42,33,41,8401.0,1,22413
43,33,82,8401.0,1,22414
44,70,89,9461.0,1,1839
45,76,81,9842.0,1,5
46,89,70,10259.0,1,1840
47,93,114,11050.0,1,39322
48,93,107,11050.0,1,39321
49,93,107,11183.0,1,39323
50,93,114,11183.0,1,39324
51,63,118,11325.0,1,6673
52,89,70,13570.0,1,1841
53,33,98,13788.0,1,22415
54,41,33,13904.0,1,22416
55,33,98,13929.0,1,22417
56,33,41,13984.0,1,22418
57,33,41,14476.0,1,22419
58,47,52,14764.0,1,1842
59,47,120,14764.0,1,1843
60,127,84,14870.0,1,6674
61,41,82,14914.0,1,22420
62,98,33,14956.0,1,22421
63,10,119,15546.0,1,6675
64,32,36,15674.0,1,39325
65,94,41,17267.0,1,22422
66,76,81,17271.0,1,6
67,108,41,18505.0,1,22423
68,25,89,18561.0,1,1844
69,57,58,19718.0,1,6676
70,70,105,20626.0,1,1845
71,70,124,20626.0,1,1848
72,70,59,20626.0,1,1847
73,70,72,20626.0,1,1846
74,70,29,20626.0,1,1849
75,70,109,20626.0,1,1850
76,12,50,20698.0,1,7
77,70,89,21149.0,1,1851
78,102,27,21487.0,1,6677
79,78,33,21771.0,1,22430
80,78,94,21771.0,1,22426
81,78,108,21771.0,1,22428
82,78,41,21771.0,1,22427
83,78,142,21771.0,1,22429
84,78,53,21771.0,1,22424
85,78,98,21771.0,1,22431
86,78,103,21771.0,1,22433
87,78,132,21771.0,1,22432
88,78,87,21771.0,1,22425
89,41,33,21798.0,1,22434
90,98,78,21817.0,1,22435
91,86,140,22716.0,1,8
92,27,69,22723.0,1,6678
93,33,41,23064.0,1,22436
94,27,9,23426.0,1,6679
95,27,9,25120.0,1,6680
96,27,62,25120.0,1,6682
97,27,69,25120.0,1,6681
98,27,58,25120.0,1,6683
99,62,27,25398.0,1,6684
100,129,26,25424.0,1,39326
101,94,33,25591.0,1,22437
102,89,70,25886.0,1,1852
103,25,89,26101.0,1,1853
104,87,33,26108.0,1,22438
105,78,98,26144.0,1,22439
106,33,87,26203.0,1,22440
107,82,108,26818.0,1,22441
108,82,41,28529.0,1,22442
109,89,25,29194.0,1,1854
110,89,70,29303.0,1,1855
111,36,23,30199.0,1,39327
112,21,93,30202.0,1,39328
113,69,27,30231.0,1,6685
114,69,118,31603.0,1,6686
115,25,89,31962.0,1,1856
116,89,25,38888.0,1,1857
117,132,78,42535.0,1,22443
118,99,50,55413.0,1,9
119,109,70,79883.0,1,1858
120,109,122,79944.0,1,1859
121,63,118,82863.0,1,6687
122,63,127,82898.0,1,6688
123,89,70,85805.0,1,1860
124,62,115,86047.0,1,6689
125,127,10,86744.0,1,6690
126,10,119,86756.0,1,6691
127,115,62,89311.0,1,6692
128,41,108,89780.0,1,22444
129,136,115,89999.0,1,6693
130,41,33,90208.0,1,22446
131,41,82,90208.0,1,22445
132,62,115,90289.0,1,6694
133,62,115,90638.0,1,6695
134,13,107,90856.0,1,39329
135,13,36,90856.0,1,39331
136,13,121,90856.0,1,39330
137,13,121,90924.0,1,39333
138,13,107,90924.0,1,39332
139,13,36,90924.0,1,39334
140,100,32,91020.0,1,39335
141,115,136,91059.0,1,6696
142,36,121,91312.0,1,39336
143,78,132,91619.0,1,22447
144,70,59,91659.0,1,1861
145,115,62,91807.0,1,6697
146,41,82,91919.0,1,22448
147,70,109,91982.0,1,1862
148,70,89,92293.0,1,1863
149,89,70,93079.0,1,1864
150,62,27,93657.0,1,6698
151,100,129,93817.0,1,39345
152,100,26,93817.0,1,39338
153,100,92,93817.0,1,39337
154,100,114,93817.0,1,39344
155,100,23,93817.0,1,39343
156,100,93,93817.0,1,39340
157,100,32,93817.0,1,39339
158,100,117,93817.0,1,39342
159,100,123,93817.0,1,39341
160,41,142,94078.0,1,22449
161,129,100,94108.0,1,39346
162,41,34,94219.0,1,22453
163,41,53,94219.0,1,22450
164,41,74,94219.0,1,22457
165,41,78,94219.0,1,22456
166,41,28,94219.0,1,22462
167,41,108,94219.0,1,22458
168,41,132,94219.0,1,22463
169,41,40,94219.0,1,22454
170,41,142,94219.0,1,22459
171,41,87,94219.0,1,22452
172,41,94,94219.0,1,22455
173,41,33,94219.0,1,22460
174,41,98,94219.0,1,22461
175,41,44,94219.0,1,22451
176,41,103,94219.0,1,22464
177,32,100,94843.0,1,39347
178,93,100,95236.0,1,39348
179,115,77,95632.0,1,6699
180,115,95,95658.0,1,6700
181,115,97,95715.0,1,6701
182,92,100,95893.0,1,39349
183,115,27,96343.0,1,6703
184,115,69,96343.0,1,6702
185,74,33,96375.0,1,22465
186,142,87,98163.0,1,22466
187,41,33,98286.0,1,22467
188,40,132,99026.0,1,22468
189,132,40,99111.0,1,22469
190,87,142,99157.0,1,22470
191,87,142,99195.0,1,22471
192,40,132,99373.0,1,22472
193,33,74,99398.0,1,22473
194,109,70,99562.0,1,1865
195,33,41,99652.0,1,22474
196,33,142,99652.0,1,22476
197,33,82,99652.0,1,22475
198,33,82,99753.0,1,22478
199,33,142,99753.0,1,22479
200,33,41,99753.0,1,22477
